"benchmark","frame size","repetitions","time","CPU model","CPU arch","CPU count"
"no_workaround",300000,1000,345.284840297998,"AMD Ryzen 5 PRO 3400G with Radeon Vega Graphics","x86_64",8
"with_loc",300000,1000,357.955207077,"AMD Ryzen 5 PRO 3400G with Radeon Vega Graphics","x86_64",8
"with_workaround",300000,1000,242.167714471998,"AMD Ryzen 5 PRO 3400G with Radeon Vega Graphics","x86_64",8
"no_workaround",300000,1000,540.7018004953861,"AMD Ryzen 5 2400G with Radeon Vega Graphics","x86_64",8
"with_loc",300000,1000,567.921154816635,"AMD Ryzen 5 2400G with Radeon Vega Graphics","x86_64",8
"with_workaround",300000,1000,442.0310325361788,"AMD Ryzen 5 2400G with Radeon Vega Graphics","x86_64",8
"no_workaround",300000,1000,529.270477404003,"Intel(R) Core(TM) i7-4770HQ CPU @ 2.20GHz","x86_64",8
"with_loc",300000,1000,527.7626337469992,"Intel(R) Core(TM) i7-4770HQ CPU @ 2.20GHz","x86_64",8
"with_workaround",300000,1000,484.49225924799975,"Intel(R) Core(TM) i7-4770HQ CPU @ 2.20GHz","x86_64",8
"no_workaround",300000,1000,420.53127749399573,"AMD Ryzen 5 3500U with Radeon Vega Mobile Gfx","x86_64",8
"with_loc",300000,1000,426.8193399650045,"AMD Ryzen 5 3500U with Radeon Vega Mobile Gfx","x86_64",8
"with_workaround",300000,1000,342.23080843400385,"AMD Ryzen 5 3500U with Radeon Vega Mobile Gfx","x86_64",8
no_workaround,300000,1000,846.212536429,Intel(R) Core(TM) i5-5350U CPU @ 1.80GHz,x86_64,2
with_loc,300000,1000,872.3565223190001,Intel(R) Core(TM) i5-5350U CPU @ 1.80GHz,x86_64,2
with_workaround,300000,1000,675.5835985549998,Intel(R) Core(TM) i5-5350U CPU @ 1.80GHz,x86_64,2
no_workaround,300000,1000,394.45046875000116,AMD Ryzen 7 4700U with Radeon Graphics,x86_64,8
with_loc,300000,1000,401.81353801099976,AMD Ryzen 7 4700U with Radeon Graphics,x86_64,8
with_workaround,300000,1000,322.6514038509995,AMD Ryzen 7 4700U with Radeon Graphics,x86_64,8
no_workaround	300000	100	66.0964555230021	Intel(R) Core(TM) i3-7020U CPU @ 2.30GHz	x86_64	4
with_loc	300000	100	64.250742475997	Intel(R) Core(TM) i3-7020U CPU @ 2.30GHz	x86_64	4
with_workaround	300000	100	58.4329415309985	Intel(R) Core(TM) i3-7020U CPU @ 2.30GHz	x86_64	4
